144.963745	-37.810921	2Pocket Fairtrade Espresso Bar and Store	Just look at that name	www.twopocket.com.au/	"277 Little Lonsdale St (btwn Drewery Ln & Elizabeth St)"	Cafe
144.9984	-37.7713	303	That quiet music venue next to the Northcote Social Club with the fridge magnets.	http://www.303.net.au/	"303 High St Northcote 3070"	Drink
144.9825	-37.8079	3CR	Even more obscure local radio station	http://www.3cr.org.au/	"21 Smith Street Fitzroy 3065"	Entertainment
144.9866	-37.7979	3PBS	Obscure local radio station	http://pbsfm.org.au/	"47 Easey Street, Collingwood 3066"	Entertainment
144.98	-37.7676	3RRR	Local radio station	http://www.rrr.org.au/	"221 Nicholson St, Brunswick East 3057 Melbourne"	Entertainment
144.9591	-37.8029	7 Seeds Specialty Coffee	Micro roaster, cafe and retailer	http://sevenseeds.com.au/	"106 - 114 Berkeley St Carlton VIC"	Cafe
144.985808	-37.799286	99 Problems	Tiny, slightly useless, awesome	http://99problemsbar.tumblr.com/	"31 Johnston St, Collingwood VIC 3066"	Drink
144.9697	-37.7615	A Minor Place	Yet another hipster coffee place	http://www.aminorplace.com.au/	"103 Albion St, Brunswick VIC 3056"	Cafe
144.959	-37.7668	Anna's GoGo Academy	Moonboots and post-ironic dancing	http://www.gogoacademy.com.au/	" 380 Victoria Street, Brunswick"	Other
144.9661	-37.8064	Anna's GoGo Academy	Moonboots and post-ironic dancing	http://www.gogoacademy.com.au/	" 2 Lygon Street, Carlton South"	Other
144.98	-37.8473	Art and Design Fair	Pretty, pretty tat. Check the Ormond Hall website for when it's on next	http://www.ormondhall.com.au/	"557 St Kilda Road, Melbourne"	Clothing
144.9494	-37.8025	Auction Rooms	Self-important deliciousness	http://www.auctionroomscafe.com.au/	"103-107 Errol St, North Melbourne VIC"	Cafe
144.979	-37.7966	Babka	French pastries and Russian dumplings	http://www.urbanspoon.com/r/71/760123/restaurant/Melbourne/Babka-Bakery-Cafe-Fitzroy	"358 Brunswick Street, Fitzroy VIC 3065"	Food
144.9656	-37.8148	Bar Americano	Prohibition-style cocktails hidden in an alley off an alley off a laneway. Cameras are banned (+1 hipster).	www.baramericano.com/	"20 Presgrave Pl, Melbourne VIC 3000"	Drink
145.057141	-37.826784	Bar None	Hidden behind an unmarked door in an alleyway. If you think you're in the wrong place, you're exactly where you need to be. Bible-lengthed drinks list.	http://www.barnone.com.au/	"DOWNSTAIRS @ 72 Auburn pde Camberwell 3124"	Drink
144.9702	-37.8159	Bowery to Williamsburg	For hipsters who wish they were in NY, where the coffee is much worse in reality	https://twitter.com/bowerytowilliam	"16 Oliver Ln, Melbourne VIC 3000"	Cafe
144.210643	-37.055348	Bridge Hotel	Final destination on the road from Northcote for flanneled boys and whimsical girls too cool for Melbs and edgy enough to confuse the shit out of the locals. Vegan fare, craft beer and a modest single malt range. 3 beanies out of 5.		"Walker St Castlemaine"	Entertainment
144.97638	-37.796416	Broadsheet	The ironically named tabloid of new bars, cafes and other goings-on.	http://www.broadsheet.com.au/	"23 Kerr St, Fitzroy North"	Other
144.9621	-37.8136	Brother Baba Budan	Always full of pretentious people at the main table trying to be seen, and confused bankers lost on the wrong street. Chairs hanging from the ceiling.	http://www.brotherbababudan.com.au/	"359 Little Bourke St, Melbourne VIC 3000"	Drink
144.9732	-37.7641	Brunswick East Project	One of the original hipster coffee joints in Brunswick East, arguably still the best. Lots of things are arguable, aren't they?	http://padrecoffee.com.au/	"438 Lygon Street, Brunswick East 3057"	Cafe
